id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,time_stamp
bitcoin,95184.0,1890170800352,0.06565,95444.0,93881.0,108786.0,67.81,30-04-2025__17h37m25s
ethereum,1815.26,219158027804,-0.78466,1831.74,1784.23,4878.26,0.432979,30-04-2025__17h37m25s
tether,1.0,148444662340,-0.01263,1.0,1.0,1.32,0.572521,30-04-2025__17h37m25s
ripple,2.24,130818283420,-2.23404,2.3,2.22,3.4,0.00268621,30-04-2025__17h37m25s
binancecoin,602.2,87843749440,-0.27359,604.21,598.92,788.84,0.0398177,30-04-2025__17h37m25s
solana,147.91,76566453915,-0.75266,149.89,145.4,293.31,0.500801,30-04-2025__17h37m25s
usd-coin,0.999886,61942718420,-0.01127,1.0,0.999877,1.17,0.877647,30-04-2025__17h37m25s
dogecoin,0.175881,26222404696,-1.78415,0.179943,0.173046,0.731578,8.69e-05,30-04-2025__17h37m25s
cardano,0.700013,25227395282,-1.97972,0.716007,0.690498,3.09,0.01925275,30-04-2025__17h37m25s
tron,0.245335,23290889590,-0.69744,0.247058,0.242862,0.431288,0.00180434,30-04-2025__17h37m25s
staked-ether,1814.26,16767841090,-0.69906,1830.71,1782.87,4829.57,482.9,30-04-2025__17h37m25s
wrapped-bitcoin,95125.0,12254650041,-0.00988,95337.0,93770.0,108368.0,3139.17,30-04-2025__17h37m25s
sui,3.53,11460033726,-0.84368,3.61,3.46,5.35,0.364846,30-04-2025__17h37m25s
chainlink,14.62,9612943142,-2.63292,15.03,14.49,52.7,0.148183,30-04-2025__17h37m25s
avalanche-2,21.64,9030281414,-2.12193,22.19,21.34,144.96,2.8,30-04-2025__17h37m25s
stellar,0.278651,8613441283,-0.39311,0.281969,0.27572,0.875563,0.00047612,30-04-2025__17h37m25s
leo-token,9.03,8344272080,0.6616,9.05,8.97,10.14,0.799859,30-04-2025__17h37m25s
the-open-network,3.25,8169996154,-0.13777,3.27,3.16,8.25,0.519364,30-04-2025__17h37m25s
shiba-inu,1.351e-05,7962880260,-1.27803,1.375e-05,1.33e-05,8.616e-05,5.6366e-11,30-04-2025__17h37m25s
hedera-hashgraph,0.18605,7865127609,-1.07961,0.190791,0.184422,0.569229,0.00986111,30-04-2025__17h37m25s
wrapped-steth,2178.15,7641567914,-0.85211,2198.83,2139.84,7256.02,558.54,30-04-2025__17h37m25s
usds,0.99983,7628691799,-0.01084,1.0,0.999496,1.057,0.948265,30-04-2025__17h37m25s
bitcoin-cash,368.44,7322501058,-1.39172,376.23,360.05,3785.82,76.93,30-04-2025__17h37m25s
litecoin,85.09,6452181593,-0.66322,87.09,84.65,410.26,1.15,30-04-2025__17h37m25s
polkadot,4.15,6330314366,-2.21158,4.28,4.09,54.98,2.7,30-04-2025__17h37m25s
hyperliquid,18.76,6262996757,-0.38538,19.04,18.19,34.96,3.81,30-04-2025__17h37m25s
binance-bridged-usdt-bnb-smart-chain,0.999727,5184998552,-0.10325,1.003,0.997587,1.05,0.942186,30-04-2025__17h37m25s
weth,1815.55,5166894580,-0.67934,1832.23,1785.19,4799.89,82.1,30-04-2025__17h37m25s
bitget-token,4.4,5145451015,-0.5853,4.43,4.36,8.45,0.0142795,30-04-2025__17h37m25s
monero,272.35,5019206928,1.04648,281.11,263.53,542.33,0.216177,30-04-2025__17h37m25s
ethena-usde,0.999574,4666333041,-0.02362,1.0,0.99898,1.032,0.929486,30-04-2025__17h37m25s
whitebit,29.11,4196014437,-0.37831,29.24,28.95,31.28,3.06,30-04-2025__17h37m25s
wrapped-eeth,1934.21,4065103019,-0.77718,1952.38,1902.04,4311.81,1505.24,30-04-2025__17h37m25s
pi-network,0.581489,4058356732,0.00357,0.591401,0.568549,2.99,0.406999,30-04-2025__17h37m25s
coinbase-wrapped-btc,95173.0,3879157111,0.06198,95476.0,93814.0,108953.0,57439.0,30-04-2025__17h37m25s
pepe,9.09e-06,3828704834,1.42775,9.13e-06,8.77e-06,2.803e-05,5.5142e-08,30-04-2025__17h37m25s
aptos,5.43,3365281736,-2.37298,5.6,5.36,19.92,3.08,30-04-2025__17h37m25s
dai,0.999883,3258810997,-0.01734,1.001,0.999431,1.22,0.88196,30-04-2025__17h37m25s
uniswap,5.38,3229259577,-1.20391,5.44,5.22,44.92,1.03,30-04-2025__17h37m25s
bittensor,366.02,3183161129,-3.85413,381.37,360.09,757.6,30.83,30-04-2025__17h37m25s
okb,51.57,3094465241,-0.61111,52.06,51.22,73.8,0.580608,30-04-2025__17h37m25s
near,2.52,3050027074,-1.96959,2.61,2.5,20.44,0.526762,30-04-2025__17h37m25s
susds,1.049,2976188583,-0.00227,1.05,1.049,1.088,0.961716,30-04-2025__17h37m25s
ondo-finance,0.929827,2939425062,-4.1868,0.971824,0.919647,2.14,0.082171,30-04-2025__17h37m25s
gatechain-token,21.83,2686000832,-1.30781,22.18,21.69,25.94,0.25754,30-04-2025__17h37m25s
internet-computer,4.93,2628037706,-2.42848,5.05,4.85,700.65,2.87,30-04-2025__17h37m25s
official-trump,13.08,2606110055,-5.18468,13.82,12.79,73.43,4.29,30-04-2025__17h37m25s
ethereum-classic,16.84,2555248396,-2.23092,17.22,16.63,167.09,0.615038,30-04-2025__17h37m25s
blackrock-usd-institutional-digital-liquidity-fund,1.0,2553295091,0.0,1.0,1.0,1.0,1.0,30-04-2025__17h37m25s
mantle,0.74686,2518191694,1.5863,0.753754,0.728584,1.54,0.307978,30-04-2025__17h37m25s
aave,165.03,2492159081,-1.92358,170.05,163.41,661.69,26.02,30-04-2025__17h37m25s
tokenize-xchange,31.1,2487899264,-0.27775,31.21,30.95,50.43,0.111255,30-04-2025__17h37m25s
crypto-com-chain,0.089692,2468096222,-2.85883,0.092331,0.089099,0.965407,0.0121196,30-04-2025__17h37m25s
kaspa,0.089676,2342140987,-5.54541,0.095044,0.086742,0.207411,0.00017105,30-04-2025__17h37m25s
vechain,0.02697128,2319836789,-2.37391,0.02786377,0.02653767,0.280991,0.00191713,30-04-2025__17h37m25s
render-token,4.48,2319330948,-0.59359,4.55,4.4,13.53,0.03665669,30-04-2025__17h37m25s
usd1-wlfi,0.999513,2126648811,-0.02639,1.003,0.997281,1.017,0.989703,30-04-2025__17h37m25s
polygon-ecosystem-token,0.242486,2105457147,0.85454,0.242538,0.23424,1.29,0.153392,30-04-2025__17h37m25s
ethena-staked-usde,1.17,2104750577,0.02494,1.18,1.17,1.29,1.012,30-04-2025__17h37m25s
cosmos,4.41,1974593264,-1.44056,4.5,4.34,44.45,1.16,30-04-2025__17h37m25s
algorand,0.228234,1960594092,-1.3922,0.2354,0.224222,3.56,0.087513,30-04-2025__17h37m25s
lombard-staked-btc,94967.0,1937328039,0.11388,95327.0,93499.0,114576.0,52119.0,30-04-2025__17h37m25s
fetch-ai,0.721715,1883196716,-0.35345,0.73028,0.690077,3.45,0.00816959,30-04-2025__17h37m25s
filecoin,2.79,1848198482,0.37407,2.81,2.71,236.84,2.14,30-04-2025__17h37m25s
fasttoken,4.29,1845798025,-0.0999,4.3,4.29,4.3,0.398142,30-04-2025__17h37m25s
ethena,0.320625,1779927277,-1.83649,0.329347,0.304956,1.52,0.195078,30-04-2025__17h37m25s
celestia,2.77,1708915439,-3.2534,2.87,2.7,20.85,2.08,30-04-2025__17h37m25s
sonic-3,0.512973,1628219727,-2.2179,0.526949,0.507006,1.029,0.359647,30-04-2025__17h37m25s
arbitrum,0.33448,1591155767,-0.9113,0.338836,0.325209,2.39,0.245747,30-04-2025__17h37m25s
bonk,1.97e-05,1525934621,-0.84277,2.069e-05,1.94e-05,5.825e-05,8.6142e-08,30-04-2025__17h37m25s
jupiter-perpetuals-liquidity-provider-token,4.11,1522153350,-0.33855,4.13,4.06,5.03,0.146839,30-04-2025__17h37m25s
first-digital-usd,0.998917,1474477609,0.00205,1.001,0.995194,1.15,0.940377,30-04-2025__17h37m25s
solv-btc,95090.0,1426615618,0.03823,95392.0,93576.0,108929.0,49058.0,30-04-2025__17h37m25s
worldcoin-wld,1.075,1423137486,-4.56569,1.13,1.07,11.74,0.583741,30-04-2025__17h37m25s
kucoin-shares,10.76,1346130994,0.98267,10.77,10.59,28.83,0.342863,30-04-2025__17h37m25s
jupiter-exchange-solana,0.460421,1306432235,-0.59878,0.474215,0.446796,2.0,0.306358,30-04-2025__17h37m25s
maker,1516.85,1266823853,-2.3624,1554.35,1497.9,6292.31,168.36,30-04-2025__17h37m25s
optimism,0.761495,1261828898,-3.01311,0.793926,0.746904,4.84,0.402159,30-04-2025__17h37m25s
blockstack,0.81884,1249436768,-1.9634,0.842239,0.79931,3.86,0.04559639,30-04-2025__17h37m25s
